# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
  1.0329E+00 -3.2195E+00  1.6755E+00  2.2284E+00 -4.2268E+00 -7.9889E+00 -2.1436E-01  1.1086E-01  2.8683E-03  2.6284E+00  8.1249E-01  1.5675E+00  1.9610E+00  2.3400E+00  2.7832E+00 -8.1348E+00 -5.4101E+00 -3.8932E+00 -1.1326E+00  3.4326E-01  3.3874E+00  1.8721E+02  3.1373E+01
 -2.3224E+00  2.1506E-01  2.5571E+00  2.5867E+00 -5.3529E+00 -5.0510E+00 -3.0395E+00  9.6354E-02  3.0075E-03  2.0574E+00  1.3070E+00  6.7157E-01  2.2670E+00  2.1901E+00  3.4528E+00 -8.6994E+00 -6.6410E+00 -6.2339E+00 -2.9844E+00  4.3860E-01  3.8252E+00  2.0081E+02  3.8018E+01
 -4.1311E-01 -6.2462E+00  1.7781E+00  1.8763E+00 -5.8557E+00 -8.6654E+00 -4.9067E+00  9.2513E-02  5.3093E-03  2.1345E+00  5.2556E-01  8.8361E-01  2.2233E+00  2.2301E+00  3.4354E+00 -7.0750E+00 -5.5379E+00 -5.3084E+00 -2.4655E+00  3.4083E-01  3.3780E+00  2.0573E+02  3.1164E+01
 -2.8534E+00 -6.4236E+00  1.0796E+00  1.2576E+00 -7.5394E+00 -6.9852E+00 -1.6048E+00  9.4881E-02  2.3669E-03  1.4664E+00  1.5715E+00  4.3947E-01  1.0460E+00  2.4723E+00  2.9473E+00 -7.9851E+00 -6.0979E+00 -5.1478E+00 -4.2159E-01  3.5745E-01  3.4332E+00  2.0232E+02  3.2241E+01
  2.1148E+00 -6.1461E+00  1.2770E+00  1.6321E+00 -4.8104E+00 -7.8875E+00 -5.1509E+00  1.0012E-01  5.0777E-03  9.7592E-01  1.6335E+00  7.9975E-01  1.8102E+00  2.2519E+00  3.0196E+00 -7.7180E+00 -7.5830E+00 -6.4436E+00 -1.7305E+00  3.7542E-01  3.4978E+00  1.9662E+02  3.3392E+01
 -1.6247E+00 -4.1224E+00  1.6594E+00  1.7311E+00 -7.3818E+00 -6.9349E+00 -7.0874E+00  9.4274E-02  4.4966E-03  5.4367E-01  1.1024E+00  1.2634E+00  2.0824E+00  2.2832E+00  3.3828E+00 -7.9285E+00 -4.5029E+00 -3.9300E+00 -1.4589E+00  4.0960E-01  3.6474E+00  2.0216E+02  3.5789E+01
 -1.2168E+00 -7.3437E+00  1.9487E+00  2.4376E+00 -4.0651E+00 -6.7764E+00 -6.2083E+00  1.0612E-01  4.4208E-03  1.7088E+00  1.2301E+00  2.3500E+00  1.9777E+00  2.3259E+00  2.7404E+00 -5.8761E+00 -5.7838E+00 -3.2685E+00 -1.1856E+00  3.5115E-01  3.4124E+00  1.9033E+02  3.1851E+01
  2.6515E+00 -7.8107E+00  1.5757E+00  1.6927E+00 -6.5478E+00 -8.3136E+00 -8.0085E-02  9.6485E-02  5.2345E-03  1.0855E+00  2.1320E+00  1.8980E+00  1.9459E+00  2.2386E+00  3.2237E+00 -8.7224E+00 -8.1390E+00 -7.0231E+00 -1.8829E+00  4.3021E-01  3.7661E+00  1.9967E+02  3.7370E+01
 -9.1906E-02 -2.8957E+00  1.4173E+00  1.5266E+00 -5.8423E+00 -5.4961E+00 -4.7038E+00  9.2909E-02  4.6627E-03  1.8013E+00  2.4136E+00  9.4698E-01  2.1334E+00  2.2082E+00  3.3615E+00 -6.6982E+00 -5.7306E+00 -4.3730E+00 -2.3732E+00  3.6181E-01  3.4520E+00  2.0519E+02  3.2471E+01
 -2.6568E+00 -2.9667E+00  1.9512E-01  3.9295E-01 -7.0686E+00 -6.3385E+00  4.6560E-01  9.5192E-02  2.8389E-03  1.3805E+00  1.2576E+00  5.8601E-01  1.4697E+00  2.2665E+00  2.9789E+00 -8.6049E+00 -6.8603E+00 -6.7435E+00 -1.5509E+00  3.6004E-01  3.4420E+00  2.0229E+02  3.2403E+01
