# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -2.0522E+00 -7.5480E+00  1.9106E+00 -6.5687E-01 -5.4853E-01  6.5086E-01 -5.7224E-02  9.5702E-02  4.6169E-03  1.3233E+00  1.2622E+00  6.9445E-01  1.9808E+00  2.4752E+00  1.6127E+00 -7.6172E+00 -6.4085E+00 -5.8552E+00  6.0150E-01  9.2499E-03  2.7428E+00  2.1660E+02  1.7858E+01
 -1.7336E+00 -5.9031E+00  5.1283E-01 -5.1025E+00 -2.7418E+00 -7.1757E-01 -2.0508E+00  9.2459E-02  1.5160E-03  1.1139E+00  1.9731E+00  6.2299E-01  2.3167E+00  2.4961E+00  1.8512E+00 -7.8230E+00 -7.1181E+00 -4.0792E+00  8.1524E-01  6.1478E-03  2.7550E+00  2.2240E+02  1.7993E+01
  2.3922E+00 -2.0220E+00  6.6786E-01 -8.7875E+00 -1.8170E+00 -7.1971E-01 -5.5986E+00  9.3944E-02  1.9682E-03  2.2189E+00  2.5658E+00  1.6228E+00  2.1840E+00  2.4558E+00  1.5909E+00 -7.6142E+00 -6.6855E+00 -4.6388E+00 -1.1012E+00  5.5876E-04  2.7456E+00  2.2067E+02  1.7855E+01
 -2.3940E+00 -9.5454E-01  5.7909E-01 -2.8630E+00 -1.8363E+00 -6.5713E-01 -4.6346E+00  9.6365E-02  4.9753E-03  2.5759E+00  1.1981E+00  1.1598E+00  1.9943E+00  2.4751E+00  5.9912E-01 -8.7759E+00 -7.7395E+00 -6.3579E+00  3.3114E-01  3.2742E-03  2.7449E+00  2.1653E+02  1.7810E+01
  1.9529E+00 -2.4757E+00 -2.8954E-01 -5.4032E+00 -2.8337E+00 -1.6241E+00 -7.0805E+00  9.5272E-02  3.7270E-03  1.8757E+00  1.2884E+00  1.2766E+00  2.0900E+00  2.4689E+00  1.8572E+00 -7.2881E+00 -5.8120E+00 -5.2474E+00  1.8639E-01  4.2007E-03  2.7312E+00  2.1839E+02  1.7409E+01
 -1.6343E-01 -7.9640E+00  2.6908E+00 -4.0770E+00  4.4693E-01  1.3536E+00 -2.1244E+00  9.4157E-02  5.4802E-03  1.0449E+00  4.6358E-01  1.7204E+00  2.2405E+00  2.4619E+00  2.1452E+00 -7.0394E+00 -5.6944E+00 -4.1817E+00 -5.7246E-01  2.8641E-03  2.7422E+00  2.1866E+02  1.7739E+01
  1.7531E+00 -8.9147E+00  2.8686E+00 -4.5089E+00  6.8545E-01  1.6421E+00 -4.1235E+00  9.4347E-02  2.0485E-03  2.1190E+00  8.6964E-01  9.1319E-01  2.1602E+00  2.4708E+00  1.9724E+00 -7.1248E+00 -5.2654E+00 -4.8064E+00  1.6596E-01  5.7041E-03  2.7438E+00  2.1875E+02  1.7832E+01
  1.0689E+00 -5.5980E+00  2.2360E+00 -4.4935E+00 -6.0750E+00  4.5467E-01 -7.1513E+00  9.5611E-02  3.0072E-03  7.8422E-01  2.0119E+00  9.1755E-01  2.2739E+00  2.4756E+00  2.3169E+00 -7.0272E+00 -4.2278E+00 -3.6799E+00  7.0055E-01  6.5586E-03  2.7410E+00  2.1845E+02  1.7819E+01
 -7.8528E-01 -7.9681E+00  6.6071E-03 -7.1829E+00 -2.4069E+00 -1.1927E+00 -5.4312E+00  9.6257E-02  4.9072E-03  1.9114E+00  7.3593E-01  7.3050E-01  2.0501E+00  2.4802E+00  1.6283E+00 -8.0227E+00 -6.6505E+00 -5.7907E+00  8.5645E-01  1.9129E-07  2.7520E+00  2.1696E+02  1.7869E+01
  9.2743E-01 -7.0763E+00  6.1596E-01 -3.2578E+00 -1.5371E+00 -6.9346E-01 -5.3341E+00  9.4211E-02  2.0193E-03  1.8850E+00  1.5051E+00  7.4086E-01  2.3320E+00  2.4803E+00  1.5645E+00 -8.3926E+00 -6.3911E+00 -3.6410E+00  1.8110E-01  3.8592E-03  2.7413E+00  2.1845E+02  1.7820E+01
